PoleId;Barramento
RSA15-783;0/1A
RSA15-784;0/2A
RSA15-785;0/3A
RSA15-786;0/4A
RSA15-787;0/5A
RSA15-788;0/6A
RSA15-789;0/7A
RSA15-790;0/8A
RSA15-791;0/9A
RSA15-792;0/10A
RSA15-793;0/11A
RSA15-794;0/12A
RSA15-795;0/13A
RSA15-796;0/14A
RSA15-797;0/15A
RSA15-798;1/1A
RSA15-799;1/2A
RSA15-800;1/3A
RSA15-801;1/4A
RSA15-802;1/5A
RSA15-803;1/6A
RSA15-804;1/7A
RSA15-805;1/8A
RSA15-806;1/9A
RSA15-807;1/10A
RSA15-808;1/11A
RSA15-809;1/12A
RSA15-810;1/13A
RSA15-811;2/1A
RSA15-812;2/2A
RSA15-813;2/3A
RSA15-814;2/4A
RSA15-815;2/5A
RSA15-816;2/6A
RSA15-817;2/7A
RSA15-818;2/8A
RSA15-819;2/9A
RSA15-820;2/10A
RSA15-821;2/11A
RSA15-822;2/12A
RSA15-823;2/13A
RSA15-824;3/1A
RSA15-825;3/2A
RSA15-826;3/3A
RSA15-827;3/4A
RSA15-828;3/5A
RSA15-829;3/6A
RSA15-830;3/7A
RSA15-831;3/8A
RSA15-832;3/9A
RSA15-833;3/10A
RSA15-834;3/11A
RSA15-835;3/12A
RSA15-836;3/13A
RSA15-837;3/14A
RSA15-838;4/1A
RSA15-839;4/2A
RSA15-840;4/3A
RSA15-841;4/4A
RSA15-842;4/5A
RSA15-843;4/6A
RSA15-844;4/7A
RSA15-845;4/8A
RSA15-846;4/9A
RSA15-847;4/10A
RSA15-848;4/11A
RSA15-849;4/12A
RSA15-850;4/13A
RSA15-851;4/14A
RSA15-852;5/1A
RSA15-853;5/2A
RSA15-854;5/3A
RSA15-855;5/4A
RSA15-856;5/5A
RSA15-857;5/6A
RSA15-858;5/7A
RSA15-859;5/8A
RSA15-860;5/9A
RSA15-861;5/10A
RSA15-862;5/11A
RSA15-863;5/12A
RSA15-864;5/13A
RSA15-865;5/14A
RSA15-866;6/1A
RSA15-867;6/2A
RSA15-868;6/3A
RSA15-869;6/4A
RSA15-870;6/5A
RSA15-871;6/6A
RSA15-872;6/7A
RSA15-873;6/8A
RSA15-874;6/9A
RSA15-875;6/10A
RSA15-876;6/11A
RSA15-877;6/12A
RSA15-878;6/13A
RSA15-879;7/1A
RSA15-880;7/2A
RSA15-881;7/3A
RSA15-882;7/4A
RSA15-883;7/5A
RSA15-884;7/6A
RSA15-885;7/7A
RSA15-886;7/8A
RSA15-887;7/9A
RSA15-888;7/10A
RSA15-889;7/11A
RSA15-890;7/12A
RSA15-891;7/13A
RSA15-892;7/14A
RSA15-893;7/15A
RSA15-894;8/1A
RSA15-895;8/2A
RSA15-896;8/3A
RSA15-897;8/4A
RSA15-898;8/5A
RSA15-899;8/6A
RSA15-900;8/7A
RSA15-901;8/8A
RSA15-902;8/9A
RSA15-903;8/10A
RSA15-904;8/11A
RSA15-905;8/12A
RSA15-906;8/13A
RSA15-907;8/14A
RSA15-908;9/1A
RSA15-909;9/2A
RSA15-910;9/3A
RSA15-911;9/4A
